,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
48,48,F,N,Y,A,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64,0.0,A,N,N,N,A,B,4.0,2.0
49,49,F,N,Y,A,259500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51,2010.0,B,N,Y,N,A,B,12.0,2.0
50,50,F,Y,N,B,90000.0,Working,Secondary / secondary special,Married,House / apartment,38,1101.0,B,Y,N,N,B,C,4.0,2.0
51,51,M,Y,Y,A,259500.0,Working,Incomplete higher,Married,With parents,24,1101.0,B,N,N,Y,B,B,10.0,2.0
52,52,F,N,Y,A,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65,0.0,B,N,Y,N,A,B,37.0,2.0
53,53,F,Y,Y,C,306000.0,State servant,Higher education,Married,House / apartment,37,3965.0,A,N,N,N,B,D,42.0,2.0
54,54,F,N,N,B,99000.0,Working,Secondary / secondary special,Married,House / apartment,42,422.0,A,N,N,N,A,C,2.0,1.0
55,55,F,N,Y,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,37,3010.0,A,N,N,N,B,B,24.0,2.0
56,56,F,Y,Y,A,130500.0,Working,Secondary / secondary special,Married,House / apartment,44,3505.0,B,N,Y,N,B,B,29.0,2.0
57,57,F,N,Y,A,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,46,642.0,A,N,N,N,B,A,3.0,1.0
58,58,F,N,Y,A,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0.0,A,N,N,N,A,B,23.0,2.0
59,59,F,N,Y,A,360000.0,Pensioner,Higher education,Married,House / apartment,62,0.0,B,N,Y,N,A,B,25.0,2.0
60,60,M,Y,Y,A,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58,0.0,A,N,N,N,A,A,1.0,1.0
61,61,M,Y,N,B,270000.0,Commercial associate,Higher education,Married,House / apartment,31,1371.0,A,N,N,N,D,C,15.0,2.0
62,62,F,Y,Y,A,225000.0,Working,Higher education,Married,House / apartment,47,3153.0,B,N,Y,N,B,B,40.0,1.0
63,63,M,Y,Y,A,315000.0,Working,Higher education,Married,House / apartment,42,3337.0,A,N,N,N,D,B,21.0,2.0
64,64,M,Y,N,A,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,24,716.0,A,N,N,N,B,A,32.0,2.0
65,65,F,N,Y,A,40500.0,Working,Secondary / secondary special,Married,House / apartment,34,4936.0,B,Y,N,N,C,B,10.0,2.0
66,66,M,N,Y,B,144000.0,Working,Secondary / secondary special,Married,House / apartment,37,2783.0,A,N,N,N,B,C,4.0,1.0
67,67,F,N,Y,C,157500.0,Commercial associate,Higher education,Married,House / apartment,33,1216.0,A,N,N,N,B,D,2.0,1.0
68,68,F,N,N,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,28,1610.0,A,N,N,N,B,B,14.0,1.0
69,69,F,N,Y,A,157500.0,Working,Higher education,Married,House / apartment,42,2969.0,B,N,N,Y,C,B,59.0,2.0
70,70,M,N,Y,A,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,27,1928.0,B,N,Y,N,B,A,39.0,2.0
71,71,M,Y,N,C,202500.0,Working,Secondary / secondary special,Married,House / apartment,43,3787.0,A,N,N,N,B,D,54.0,2.0
72,72,F,N,N,A,351000.0,Commercial associate,Higher education,Married,House / apartment,59,1081.0,B,N,Y,N,A,B,4.0,2.0
73,73,F,N,Y,A,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0.0,B,N,Y,N,A,B,34.0,2.0
74,74,F,N,Y,B,67500.0,Working,Secondary / secondary special,Married,House / apartment,28,219.0,C,Y,Y,N,B,C,25.0,2.0
75,75,F,Y,Y,A,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,5500.0,B,N,N,Y,B,B,34.0,2.0
76,76,F,Y,N,A,315000.0,Commercial associate,Higher education,Married,House / apartment,37,586.0,C,Y,Y,N,A,B,15.0,2.0
77,77,F,N,N,A,135000.0,Working,Higher education,Single / not married,House / apartment,26,520.0,A,N,N,N,B,A,7.0,1.0
78,78,F,Y,Y,A,112500.0,Working,Secondary / secondary special,Married,House / apartment,34,231.0,B,Y,N,N,B,B,23.0,1.0
79,79,F,Y,Y,B,225000.0,Working,Higher education,Separated,House / apartment,40,1672.0,A,N,N,N,B,B,2.0,0.0
80,80,F,N,Y,A,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,48,212.0,A,N,N,N,B,B,2.0,1.0
81,81,M,Y,Y,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,28,962.0,B,N,N,Y,B,B,0.0,0.0
82,82,F,Y,Y,A,216000.0,Working,Higher education,Civil marriage,House / apartment,41,1423.0,B,N,N,Y,B,B,53.0,2.0
83,83,F,N,N,C,180000.0,Working,Higher education,Married,House / apartment,32,1700.0,A,N,N,N,B,D,38.0,1.0
84,84,M,Y,Y,A,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64,0.0,B,N,Y,N,A,B,27.0,2.0
85,85,M,Y,N,A,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,49,1215.0,A,N,N,N,B,B,41.0,1.0
86,86,M,Y,Y,B,112500.0,Working,Secondary / secondary special,Married,House / apartment,34,451.0,C,Y,N,Y,B,C,45.0,2.0
87,87,F,N,Y,A,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,36,235.0,D,Y,Y,Y,B,A,56.0,2.0
88,88,F,Y,Y,A,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,55,5427.0,A,N,N,N,D,B,45.0,2.0
89,89,M,N,N,A,259500.0,Commercial associate,Incomplete higher,Married,House / apartment,39,4145.0,C,Y,Y,N,D,B,59.0,2.0
90,90,F,N,Y,A,45000.0,State servant,Secondary / secondary special,Married,House / apartment,55,3505.0,B,Y,N,N,C,B,30.0,2.0
91,91,F,Y,Y,A,202500.0,Working,Secondary / secondary special,Married,House / apartment,51,2988.0,A,N,N,N,B,B,20.0,2.0
92,92,M,Y,Y,B,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,691.0,A,N,N,N,B,C,5.0,2.0
93,93,F,N,Y,A,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52,3629.0,A,N,N,N,B,A,22.0,1.0
94,94,F,N,Y,A,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65,0.0,A,N,N,N,A,B,26.0,2.0
95,95,M,N,Y,A,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,44,0.0,B,N,Y,N,A,B,14.0,2.0
96,96,M,N,Y,A,259500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,64,2087.0,A,N,N,N,B,B,56.0,2.0
97,97,M,Y,Y,A,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,25,1212.0,A,N,N,N,B,B,46.0,2.0
98,98,M,Y,Y,A,259500.0,Commercial associate,Higher education,Single / not married,House / apartment,29,588.0,B,N,N,Y,B,A,5.0,2.0
99,99,F,N,N,A,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,53,3505.0,C,N,Y,Y,C,A,35.0,2.0
100,100,F,N,Y,A,135000.0,Working,Higher education,Married,House / apartment,60,3505.0,A,N,N,N,B,B,9.0,2.0
101,101,F,N,Y,A,81000.0,Working,Secondary / secondary special,Married,House / apartment,53,3046.0,C,Y,Y,N,D,B,2.0,1.0
102,102,F,N,N,B,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,604.0,A,N,N,N,D,C,12.0,2.0
103,103,M,Y,N,A,315000.0,Working,Higher education,Married,House / apartment,43,3720.0,C,Y,Y,N,D,B,12.0,2.0
104,104,M,Y,Y,A,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,43,2537.0,B,N,Y,N,B,A,7.0,0.0
105,105,M,Y,Y,A,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27,2606.0,A,N,N,N,B,B,5.0,2.0
106,106,F,N,N,B,90000.0,Working,Secondary / secondary special,Married,House / apartment,44,1959.0,B,N,Y,N,A,C,47.0,2.0
107,107,F,Y,N,B,306000.0,Working,Higher education,Married,House / apartment,25,1678.0,A,N,N,N,A,C,4.0,1.0
108,108,F,N,Y,A,153000.0,Working,Higher education,Single / not married,House / apartment,29,683.0,B,N,Y,N,B,A,22.0,2.0
109,109,F,N,Y,A,126000.0,Working,Secondary / secondary special,Married,House / apartment,62,2234.0,C,Y,Y,N,B,B,13.0,2.0
110,110,M,Y,Y,A,315000.0,Commercial associate,Higher education,Married,House / apartment,35,164.0,A,N,N,N,D,B,57.0,2.0
111,111,M,Y,Y,B,225000.0,Working,Secondary / secondary special,Married,House / apartment,44,2371.0,A,N,N,N,B,C,44.0,2.0
112,112,F,N,N,A,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,48,201.0,B,N,Y,N,B,A,4.0,2.0
113,113,F,N,Y,C,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47,1138.0,A,N,N,N,C,D,36.0,1.0
114,114,M,Y,Y,C,135000.0,Working,Higher education,Married,House / apartment,31,2944.0,B,N,N,Y,D,D,43.0,2.0
115,115,F,N,N,A,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0.0,A,N,N,N,A,B,49.0,2.0
116,116,F,Y,Y,B,259500.0,Working,Secondary / secondary special,Married,House / apartment,39,2751.0,A,N,N,N,D,C,11.0,2.0
117,117,F,N,Y,A,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44,674.0,A,N,N,N,B,B,27.0,2.0
118,118,F,N,Y,A,112500.0,Working,Higher education,Married,House / apartment,50,5756.0,B,N,Y,N,B,B,47.0,2.0
119,119,F,N,Y,C,144000.0,Working,Secondary / secondary special,Married,House / apartment,33,1854.0,C,Y,Y,N,C,D,0.0,1.0
120,120,F,N,Y,A,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,58,0.0,A,N,N,N,A,A,4.0,1.0
121,121,F,N,N,A,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,45,3505.0,C,Y,Y,N,B,B,35.0,2.0
122,122,F,Y,Y,C,283500.0,State servant,Higher education,Married,House / apartment,35,4120.0,A,N,N,N,B,D,39.0,2.0
123,123,F,N,Y,A,202500.0,Working,Secondary / secondary special,Married,House / apartment,53,6226.0,A,N,N,N,B,B,48.0,2.0
124,124,F,Y,Y,C,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,3357.0,A,N,N,N,B,D,55.0,2.0
125,125,M,N,Y,A,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,4039.0,A,N,N,N,D,B,42.0,2.0
126,126,F,Y,N,B,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,32,4983.0,A,N,N,N,B,B,45.0,2.0
127,127,M,Y,Y,B,360000.0,Commercial associate,Higher education,Married,House / apartment,45,410.0,C,N,Y,Y,B,C,30.0,2.0
128,128,F,N,Y,B,112500.0,Working,Secondary / secondary special,Married,House / apartment,37,5221.0,A,N,N,N,B,C,38.0,1.0
129,129,M,N,N,B,315000.0,Working,Secondary / secondary special,Married,House / apartment,48,1749.0,A,N,N,N,B,C,11.0,2.0
130,130,F,N,Y,A,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,3234.0,A,N,N,N,B,A,1.0,0.0
131,131,F,Y,N,A,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,38,5330.0,B,N,Y,N,A,B,33.0,0.0
132,132,F,N,N,A,225000.0,Commercial associate,Higher education,Married,House / apartment,28,429.0,C,Y,Y,N,B,B,35.0,2.0
133,133,F,Y,N,B,259500.0,Working,Higher education,Married,House / apartment,36,2574.0,A,N,N,N,D,C,22.0,2.0
134,134,F,Y,Y,A,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,62,0.0,A,N,N,N,A,A,6.0,2.0
135,135,M,Y,N,B,337500.0,Commercial associate,Higher education,Separated,House / apartment,42,196.0,B,N,Y,N,D,B,23.0,0.0
136,136,F,N,N,B,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34,399.0,A,N,N,N,B,C,29.0,2.0
137,137,F,Y,Y,B,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,3246.0,A,N,N,N,B,C,46.0,2.0
138,138,F,N,Y,A,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,66,0.0,A,N,N,N,A,B,2.0,0.0
139,139,F,Y,N,A,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,982.0,B,N,Y,N,A,B,39.0,2.0
140,140,M,Y,Y,B,180000.0,Working,Higher education,Married,With parents,32,1680.0,B,Y,N,N,B,C,15.0,0.0
141,141,F,Y,Y,B,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,28,3000.0,B,N,N,Y,B,C,12.0,2.0
142,142,M,Y,Y,A,360000.0,Working,Higher education,Married,House / apartment,61,1934.0,B,N,Y,N,D,B,11.0,2.0
143,143,F,Y,Y,A,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,1071.0,B,N,N,Y,B,B,45.0,2.0
144,144,F,Y,N,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,28,1322.0,A,N,N,N,A,B,8.0,2.0
145,145,F,Y,N,A,202500.0,State servant,Secondary / secondary special,Married,House / apartment,53,3505.0,B,N,Y,N,C,B,7.0,2.0
146,146,F,N,N,A,247500.0,Working,Higher education,Married,House / apartment,38,3505.0,C,Y,Y,N,D,B,6.0,1.0
147,147,F,N,Y,A,157500.0,Working,Higher education,Married,House / apartment,34,709.0,A,N,N,N,B,B,11.0,1.0
148,148,M,Y,Y,A,225000.0,Working,Secondary / secondary special,Married,House / apartment,39,808.0,B,N,Y,N,A,B,26.0,2.0
149,149,F,N,Y,C,112500.0,Working,Secondary / secondary special,Married,House / apartment,35,2379.0,A,N,N,N,B,D,49.0,1.0
150,150,F,Y,N,B,157500.0,Working,Higher education,Married,House / apartment,32,2828.0,A,N,N,N,B,C,41.0,2.0
151,151,M,Y,Y,A,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,314.0,A,N,N,N,B,B,33.0,2.0
152,152,F,Y,Y,A,360000.0,Working,Secondary / secondary special,Separated,House / apartment,29,574.0,B,Y,N,N,C,A,35.0,2.0
153,153,M,Y,Y,A,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49,3476.0,A,N,N,N,B,B,32.0,1.0
154,154,F,N,N,A,175500.0,Working,Secondary / secondary special,Married,House / apartment,51,3505.0,B,Y,N,N,A,B,46.0,2.0
155,155,F,N,Y,A,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0.0,A,N,N,N,A,B,35.0,2.0
156,156,M,N,Y,B,135000.0,Working,Secondary / secondary special,Separated,House / apartment,45,880.0,A,N,N,N,B,B,38.0,2.0
157,157,M,N,Y,C,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,1447.0,A,N,N,N,A,D,44.0,2.0
158,158,M,N,Y,B,202500.0,State servant,Higher education,Married,House / apartment,29,2355.0,A,N,N,N,B,C,39.0,2.0
159,159,F,N,Y,A,153000.0,Pensioner,Higher education,Married,House / apartment,59,0.0,B,N,Y,N,A,B,51.0,1.0
160,160,F,Y,Y,B,72000.0,Working,Secondary / secondary special,Married,House / apartment,46,1266.0,A,N,N,N,B,C,11.0,2.0
161,161,M,Y,Y,C,360000.0,Working,Secondary / secondary special,Married,House / apartment,36,839.0,B,N,Y,N,D,D,33.0,0.0
162,162,F,N,N,B,259500.0,Working,Secondary / secondary special,Separated,House / apartment,44,2045.0,B,Y,N,N,D,B,60.0,2.0
163,163,F,N,Y,A,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,0.0,A,N,N,N,A,B,24.0,2.0
164,164,M,Y,Y,A,189000.0,Working,Secondary / secondary special,Married,House / apartment,57,829.0,B,N,N,Y,B,B,3.0,1.0
165,165,F,N,Y,A,139500.0,State servant,Higher education,Married,House / apartment,57,895.0,C,Y,Y,N,A,B,4.0,1.0
166,166,F,N,Y,A,259500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59,0.0,B,N,Y,N,A,A,15.0,2.0
167,167,M,Y,N,A,259500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,119.0,C,Y,Y,N,B,B,14.0,2.0
168,168,F,N,N,A,157500.0,Working,Secondary / secondary special,Married,House / apartment,53,3505.0,C,Y,Y,N,A,B,21.0,1.0
169,169,F,N,Y,B,225000.0,Working,Secondary / secondary special,Separated,House / apartment,38,3792.0,A,N,N,N,A,B,3.0,1.0
170,170,M,Y,Y,B,259500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49,678.0,C,N,Y,Y,B,C,60.0,2.0
171,171,F,N,N,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,42,869.0,A,N,N,N,B,B,2.0,0.0
172,172,M,N,Y,B,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,3505.0,A,N,N,N,A,C,49.0,1.0
173,173,F,N,Y,A,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0.0,A,N,N,N,A,B,19.0,0.0
174,174,F,N,Y,A,225000.0,Commercial associate,Higher education,Married,House / apartment,29,1040.0,B,N,N,Y,B,B,15.0,2.0
175,175,M,N,Y,A,112500.0,Working,Secondary / secondary special,Married,House / apartment,29,1376.0,A,N,N,N,B,B,2.0,1.0
176,176,F,Y,N,A,315000.0,State servant,Higher education,Married,House / apartment,49,3505.0,B,Y,N,N,D,B,26.0,2.0
177,177,F,N,N,A,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,32,1415.0,A,N,N,N,A,A,22.0,1.0
178,178,M,N,N,A,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0.0,A,N,N,N,A,B,12.0,2.0
179,179,M,Y,Y,A,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46,2026.0,A,N,N,N,B,B,19.0,2.0
180,180,F,Y,Y,A,259500.0,Commercial associate,Higher education,Separated,House / apartment,56,4814.0,C,Y,Y,N,D,A,58.0,2.0
181,181,F,N,Y,A,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0.0,A,N,N,N,A,B,5.0,0.0
182,182,F,N,Y,C,67500.0,Working,Higher education,Married,House / apartment,28,961.0,B,Y,N,N,A,D,12.0,0.0
183,183,F,N,Y,A,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62,0.0,B,N,Y,N,A,B,42.0,1.0
184,184,M,Y,N,A,225000.0,Working,Secondary / secondary special,Married,Office apartment,41,995.0,B,N,N,Y,B,B,46.0,2.0
185,185,F,N,Y,A,180000.0,Working,Lower secondary,Widow,House / apartment,46,2227.0,C,Y,Y,N,C,A,49.0,2.0
186,186,F,Y,Y,A,216000.0,Working,Higher education,Married,House / apartment,50,1809.0,A,N,N,N,C,B,10.0,2.0
187,187,F,Y,Y,B,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,4239.0,A,N,N,N,B,C,4.0,1.0
188,188,F,N,N,A,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,54,0.0,A,N,N,N,A,A,26.0,0.0
189,189,F,N,Y,A,112500.0,Working,Secondary / secondary special,Married,House / apartment,45,4574.0,A,N,N,N,A,B,44.0,2.0
190,190,F,N,Y,A,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63,0.0,B,N,Y,N,A,A,13.0,0.0
191,191,F,N,N,A,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58,0.0,A,N,N,N,A,B,28.0,2.0
192,192,F,N,Y,A,135000.0,Working,Higher education,Married,House / apartment,36,1628.0,A,N,N,N,B,B,14.0,2.0
193,193,M,Y,N,A,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44,2574.0,A,N,N,N,B,B,22.0,0.0
194,194,M,Y,N,B,252000.0,State servant,Higher education,Married,House / apartment,34,1650.0,C,Y,Y,N,B,C,19.0,1.0
195,195,F,N,Y,A,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,30,552.0,A,N,N,N,B,B,5.0,2.0
196,196,M,Y,Y,A,202500.0,Working,Secondary / secondary special,Married,House / apartment,27,2289.0,A,N,N,N,D,B,36.0,2.0
197,197,M,N,Y,B,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,31,2554.0,A,N,N,N,B,C,49.0,2.0
198,198,F,N,Y,C,225000.0,State servant,Secondary / secondary special,Married,House / apartment,35,5394.0,B,Y,N,N,C,D,26.0,1.0
199,199,F,N,Y,C,360000.0,Working,Secondary / secondary special,Married,House / apartment,43,658.0,B,N,Y,N,B,D,11.0,2.0
200,200,M,Y,Y,A,202500.0,Working,Higher education,Married,House / apartment,40,1953.0,A,N,N,N,D,B,3.0,1.0
201,201,F,Y,Y,A,225000.0,Working,Higher education,Married,House / apartment,33,3717.0,A,N,N,N,B,B,10.0,1.0
